Breakcode: 0x9c
x: 5, y: 6
x: 6, y: 9
x: 9, y: 17
x: 13, y: 21
x: 20, y: 28
x: 26, y: 32
x: 41, y: 40
x: 50, y: 46
x: 55, y: 51
x: 79, y: 68
x: 89, y: 75
x: 106, y: 86
x: 142, y: 108
x: 162, y: 118
x: 182, y: 130
x: 215, y: 145
x: 233, y: 155
x: 241, y: 160
x: 256, y: 170
x: 260, y: 176
x: 266, y: 183
x: 269, y: 186
x: 272, y: 189
x: 276, y: 194
x: 279, y: 196
x: 281, y: 199
x: 284, y: 201
x: 294, y: 209
x: 302, y: 213
x: 310, y: 219
x: 314, y: 222
x: 317, y: 224
x: 319, y: 226
x: 320, y: 227
x: 322, y: 229
x: 327, y: 232
x: 332, y: 235
x: 341, y: 242
x: 345, y: 245
x: 349, y: 247
x: 353, y: 252
x: 354, y: 253
x: 355, y: 254
x: 356, y: 255
